state_name,year,ethanol_beer_gallons_per_capita,ethanol_spirit_gallons_per_capita,beer_share_signal,spirit_share_signal,total_selected_signal
Colorado,2011,1.2,1.04,0.4411764705882352,0.38235294117647056,2.24
Colorado,2012,1.15,1.08,0.4166666666666667,0.39130434782608703,2.23
Colorado,2013,1.2,1.11,0.4270462633451957,0.39501779359430605,2.31
Colorado,2014,1.14,1.11,0.4115523465703971,0.40072202166064985,2.25
Colorado,2015,1.12,1.14,0.40433212996389895,0.4115523465703971,2.26
Colorado,2016,1.14,1.16,0.40425531914893614,0.41134751773049644,2.3
Colorado,2017,1.14,1.19,0.4014084507042253,0.41901408450704225,2.33
Colorado,2018,1.14,1.23,0.3958333333333333,0.42708333333333337,2.37
Colorado,2019,1.17,1.14,0.420863309352518,0.41007194244604317,2.3099999999999996
Colorado,2020,1.14,1.33,0.38255033557046975,0.4463087248322148,2.4699999999999998
Colorado,2021,1.17,1.39,0.38235294117647056,0.45424836601307184,2.5599999999999996
Colorado,2022,1.13,1.48,0.36688311688311687,0.4805194805194805,2.61
Colorado,2023,1.08,1.49,0.35179153094462545,0.485342019543974,2.5700000000000003
Connecticut,1977,1.06,1.23,0.4015151515151515,0.4659090909090909,2.29
Connecticut,1978,1.09,1.21,0.4052044609665428,0.44981412639405205,2.3
Connecticut,1979,1.14,1.21,0.41304347826086957,0.4384057971014493,2.3499999999999996
Connecticut,1980,1.06,1.2,0.3940520446096655,0.44609665427509293,2.26
Connecticut,1981,1.05,1.18,0.39325842696629215,0.44194756554307113,2.23
Connecticut,1982,1.04,1.21,0.3795620437956204,0.44160583941605835,2.25
Connecticut,1983,1.1,1.22,0.3928571428571429,0.4357142857142857,2.3200000000000003
Connecticut,1984,1.1,1.19,0.3956834532374101,0.42805755395683454,2.29
Connecticut,1985,1.12,1.19,0.39857651245551606,0.42348754448398573,2.31
Connecticut,1986,1.11,1.14,0.4021739130434783,0.41304347826086957,2.25
Connecticut,1987,1.14,1.1,0.4145454545454545,0.4,2.24
Connecticut,1988,1.12,1.05,0.41947565543071164,0.39325842696629215,2.17
Connecticut,1989,1.07,0.96,0.42800000000000005,0.384,2.0300000000000002
Connecticut,1990,1.09,0.92,0.44308943089430897,0.3739837398373984,2.0100000000000002
Connecticut,1991,1.03,0.84,0.4497816593886463,0.3668122270742358,1.87
Connecticut,1992,1.01,0.83,0.4391304347826087,0.36086956521739133,1.8399999999999999
Connecticut,1993,0.96,0.8,0.4363636363636363,0.36363636363636365,1.76
Connecticut,1994,0.99,0.78,0.44999999999999996,0.35454545454545455,1.77
Connecticut,1995,0.96,0.78,0.4363636363636363,0.35454545454545455,1.74
Connecticut,1996,0.91,0.72,0.43540669856459335,0.3444976076555024,1.63
Connecticut,1997,0.95,0.74,0.4377880184331797,0.34101382488479265,1.69
Connecticut,1998,0.96,0.76,0.4343891402714932,0.3438914027149321,1.72
Connecticut,1999,0.94,0.75,0.4311926605504587,0.3440366972477064,1.69
Connecticut,2000,0.94,0.74,0.4311926605504587,0.33944954128440363,1.68
Connecticut,2001,0.95,0.74,0.4337899543378995,0.3378995433789954,1.69
Connecticut,2002,0.95,0.75,0.42986425339366513,0.3393665158371041,1.7
Connecticut,2003,0.93,0.78,0.41704035874439466,0.34977578475336324,1.71
Connecticut,2004,0.93,0.79,0.41333333333333333,0.35111111111111115,1.7200000000000002
Connecticut,2005,0.9,0.79,0.40358744394618834,0.3542600896860987,1.69
Connecticut,2006,0.93,0.81,0.4043478260869566,0.35217391304347834,1.7400000000000002
Connecticut,2007,0.92,0.84,0.3948497854077253,0.3605150214592274,1.76
Connecticut,2008,0.93,0.85,0.39406779661016955,0.3601694915254237,1.78
Connecticut,2009,0.88,0.85,0.38095238095238093,0.36796536796536794,1.73
Connecticut,2010,0.88,0.87,0.37446808510638296,0.3702127659574468,1.75
Connecticut,2011,0.86,0.88,0.3659574468085106,0.37446808510638296,1.74
Connecticut,2012,0.86,0.91,0.36134453781512604,0.3823529411764706,1.77
Connecticut,2013,0.85,0.91,0.3586497890295358,0.38396624472573837,1.76
Connecticut,2014,0.84,0.92,0.3559322033898305,0.3898305084745763,1.76
Connecticut,2015,0.85,0.95,0.3526970954356846,0.39419087136929454,1.7999999999999998
Connecticut,2016,0.85,0.98,0.3483606557377049,0.4016393442622951,1.83
Connecticut,2017,0.82,0.99,0.3402489626556016,0.4107883817427386,1.81
Connecticut,2018,0.8,1.01,0.33333333333333337,0.42083333333333334,1.81
Connecticut,2019,0.81,1.07,0.32793522267206476,0.4331983805668016,1.8800000000000001
Connecticut,2020,0.79,1.11,0.316,0.44400000000000006,1.9000000000000001
Connecticut,2021,0.78,1.19,0.30708661417322836,0.46850393700787396,1.97
Connecticut,2022,0.73,1.15,0.3029045643153527,0.47717842323651444,1.88
Connecticut,2023,0.7,1.15,0.2953586497890295,0.4852320675105485,1.8499999999999999
Delaware,1977,1.3,1.33,0.4545454545454546,0.46503496503496505,2.63
Delaware,1978,1.31,1.3,0.45964912280701753,0.45614035087719296,2.6100000000000003
Delaware,1979,1.35,1.31,0.4623287671232877,0.4486301369863014,2.66
Delaware,1980,1.44,1.37,0.4630225080385852,0.44051446945337625,2.81
Delaware,1981,1.52,1.4,0.4691358024691358,0.4320987654320987,2.92
Delaware,1982,1.54,1.38,0.47239263803680986,0.4233128834355828,2.92
Delaware,1983,1.55,1.35,0.47692307692307695,0.4153846153846154,2.9000000000000004
Delaware,1984,1.52,1.29,0.475,0.403125,2.81
Delaware,1985,1.48,1.31,0.46249999999999997,0.409375,2.79
Delaware,1986,1.46,1.25,0.46202531645569617,0.39556962025316456,2.71
Delaware,1987,1.46,1.23,0.4679487179487179,0.3942307692307692,2.69
Delaware,1988,1.46,1.21,0.474025974025974,0.39285714285714285,2.67
Delaware,1989,1.43,1.15,0.4831081081081081,0.3885135135135135,2.58
Delaware,1990,1.44,1.14,0.48813559322033895,0.38644067796610165,2.58
Delaware,1991,1.4,0.95,0.5185185185185185,0.3518518518518518,2.3499999999999996
Delaware,1992,1.4,0.97,0.5128205128205128,0.3553113553113553,2.37
Delaware,1993,1.46,0.95,0.5289855072463768,0.34420289855072467,2.41
Delaware,1994,1.43,0.95,0.5181159420289855,0.34420289855072467,2.38
Delaware,1995,1.3,0.92,0.4961832061068702,0.3511450381679389,2.22
Delaware,1996,1.39,0.94,0.5,0.3381294964028777,2.33
Delaware,1997,1.37,0.99,0.48754448398576516,0.35231316725978645,2.3600000000000003
